x,y,height
-54,-33,10
-54,-32,10
-54,-31,8
-54,-30,4
-54,-29,2
-54,-28,2
-54,-27,2
-54,-26,2
-54,-25,2
-54,-24,2
-54,-23,2
-54,-22,0
-54,-21,-3
-54,-20,-3
-54,-19,-3
-54,-18,-3
-54,-17,-3
-54,-16,-3
-54,-15,-3
-54,-14,-3
-54,-13,-3
-54,-12,-3
-54,-11,-3
-54,-10,-3
-54,-9,-4
-54,-8,-4
-54,-7,-4
-54,-6,-4
-54,-5,-4
-54,-4,-4
-54,-3,-4
-54,-2,-4
-54,-1,-3
-54,0,-2
-54,1,0
-54,2,2
-54,3,2
-54,4,2
-54,5,2
-54,6,2
-54,7,2
-54,8,2
-54,9,2
-54,10,2
-54,11,3
-54,12,4
-54,13,5
-54,14,5
-54,15,6
-54,16,6
-54,17,7
-54,18,7
-54,19,7
-54,20,6
-54,21,6
-54,22,6
-54,23,5
-54,24,4
-54,25,3
-54,26,3
-54,27,2
-54,28,2
-54,29,2
-54,30,2
-54,31,2
-54,32,2
-54,33,2
-54,34,2
-54,35,2
-54,36,2
-54,37,2
-54,38,2
-54,39,2
-54,40,2
-54,41,2
-54,42,2
-54,43,2
-54,44,2
-54,45,2
-54,46,2
-54,47,2
-54,48,2
-54,49,2
-54,50,2
-54,51,2
-54,52,2
-54,53,2
-54,54,2
-54,55,2
-54,56,2
-54,57,2
-54,58,2
-54,59,2
-54,60,2
-53,-40,12
-53,-39,11
-53,-38,10
-53,-37,10
-53,-36,10
-53,-35,10
-53,-34,9
-53,-33,7
-53,-32,4
-53,-31,2
-53,-30,2
-53,-29,2
-53,-28,2
-53,-27,2
-53,-26,2
-53,-25,2
-53,-24,1
-53,-23,-1
-53,-22,-3
-53,-21,-4
-53,-20,-4
-53,-19,-4
-53,-18,-4
-53,-17,-3
-53,-16,-3
-53,-15,-3
-53,-14,-4
-53,-13,-4
-53,-12,-4
-53,-11,-3
-53,-10,-3
-53,-9,-3
-53,-8,-4
-53,-7,-4
-53,-6,-4
-53,-5,-4
-53,-4,-4
-53,-3,-4
-53,-2,-4
-53,-1,-4
-53,0,-4
-53,1,-4
-53,2,-2
-53,3,0
-53,4,1
-53,5,2
-53,6,2
-53,7,2
-53,8,2
-53,9,2
-53,10,2
-53,11,2
-53,12,2
-53,13,2
-53,14,2
-53,15,2
-53,16,2
-53,17,2
-53,18,2
-53,19,2
-53,20,2
-53,21,2
-53,22,2
-53,23,2
-53,24,2
-53,25,2
-53,26,2
-53,27,2
-53,28,2
-53,29,2
-53,30,2
-53,31,2
-53,32,2
-53,33,2
-53,34,2
-53,35,2
-53,36,2
-53,37,2
-53,38,2
